x,y,Number,Name,VolPrt
391896.8447,265516.4431,101620,,12733.97327
394984.4014,272175.2089,101983,M5 J4a Diverge Nthbd,11085.11973
389275.2041,257196.4037,101360,,10232.97615
390298.828,325437.4363,101444,,9742.573892
392816.9041,318457.7877,101730,,9613.580108
408296.527,289793.6533,106012,Waterlks Blvrd/ Vic. St/ Aston Exprwy Diverge,9258.881435
408813.6914,290112.5091,106015,M6 J6 (Spaghetti Jctn),9258.881435
408224.6732,289697.1805,103327,,7887.714402
408236.7325,289713.4745,110439,,7887.714402
467296.3954,259576.4096,104887,,7880.750644
407590.1342,288010.3751,106059,Dartmouth Cir./Aston Exprwy Rabt (Diverge),7800.190594
393301.8028,312379.1649,109596,,7749.566219
443427.2745,290987.6579,104657,,7616.941733
458626.4444,270006.162,104828,,7592.681114
387761.412,252286.9704,101254,,7506.624646
407537.6724,287893.7011,106072,Lancaster St/New Town Row,7488.555475
407593.276,288018.021,110215,,7293.767855
454613.8317,300596.5759,104767,,7243.426626
384870.4508,342052.4708,101150,,7089.330278
433801.6369,275385.9756,106506,Kenilworth by pass,6803.877826
432270.8665,273771.1585,108345,Kenilworth By Pass on slip,6803.877826
433718.8977,275309.9581,110312,,6803.877826
407807.3398,288873.0407,110440,,6773.090517
369830.4601,309573.2169,100813,,6770.451512
404502.2598,265845.4507,102904,,6732.039071
458570.0449,270100.4633,109085,,6713.582636
435883.0377,275806.5033,1000157,,6615.068659
435362.0472,275620.7171,1000238,,6615.068659
417091.7248,290405.8018,109658,M6 Junction 4a Northbound,6569.047621
417168.2365,290340.6721,109605,M6 J4a Merge,6569.047621
414466.521,290179.6572,109606,,6569.047621
419711.2868,286113.4417,107740,M6 J4 Merge To M42 J7,6479.877462
419721.3382,286004.4754,109664,Merge node,6479.877462
419816.646,284166.2814,109663,,6479.877462
407600.0079,288034.4037,106069,Dartmouth Cir./Aston Exprwy Rabt (Merge),6358.369412
401587.543,295573.9508,107010,Update due to Merge Coding,6240.774574
400264.9746,296362.2505,107383,M6 J9,6240.774574
401524.9895,295647.0763,109649,M6 Junction 8 Northbound,6240.774574
430727.7967,310768.3001,104205,,6234.482909
414677.6451,290247.5709,109654,M6 Junction 5,6197.442275
414581.7745,290217.1217,103726,Update due to Merge Coding,6197.442275
417354.0499,290172.3467,107742,M6  J4a Diverge,6197.442275
412587.0912,307249.6454,103616,,6176.302924
417457.1954,278722.5146,107563,M42 Rdbt entry/exit,6140.255119
417565.0194,278746.6207,109670,,6140.255119
418866.3107,280057.6342,1000105,,6140.255119
418877.2786,280084.1456,1000107,,6140.255119
419000.335,280386.3749,1000110,,6140.255119
406806.2107,285488.2606,103124,Bristol Rd/ Belgrave/ Lee Bank Middleway,6031.218871
