ZONENO,CENTROID_X,CENTROID_Y,DESCRIPTIO,WARD,AREAKM2
1011,401852,285083,Quinton,Quinton,1km2
1021,402913,285436,North Harbourne,Harborne,1km2
1022,403441,284425,East Harbourne,Harborne,1km2
1023,402116,284177,West Harbourne,Harborne,2km2
1024,402959,283258,South Harbourne,Harborne,1km2
1031,404082,286066,North Edgbaston,Edgbaston,2km2
1032,404798,285093,Central Edgbaston,Edgbaston,2km2
1033,403895,283405,South West Edgbaston,Edgbaston,1km2
1034,405190,284645,South Edgbaston,Edgbaston,2km2
1035,406459,284828,East Edgbaston,Edgbaston,3km2
1041,402103,282148,North Weoley,Weoley,1km2
1042,402295,281056,Central Weoley,Weoley,2km2
1043,401636,279789,South Weoley,Weoley,1km2
1051,400618,282650,North Bartley Green,Bartley Green,3km2
1052,399513,281932,West Bartley Green,Bartley Green,2km2
1053,401267,281231,South Bartley Green,Bartley Green,2km2
1061,403318,282434,West Selly Oak,Selly Oak,2km2
1062,404311,281809,South Selly Oak,Selly Oak,1km2
1063,404973,282393,Central Selly Oak,Selly Oak,1km2
1064,405794,282697,East Selly Oak,Selly Oak,1km2
1071,403528,280569,North West Bournville,Bournville,2km2
1072,405417,280961,Central Bourneville,Bournville,1km2
1073,404349,279985,South West Bourneville,Bournville,2km2
1074,406144,281386,East Bourneville,Bournville,1km2
1081,402967,278527,North East Northfield,Northfield,1km2
1082,402365,277770,South Northfield,Northfield,2km2
1083,401980,279025,North West Northfield,Northfield,2km2
1091,401666,277023,East Longbridge,Longbridge,1km2
1092,399893,277085,South Longbridge,Longbridge,1km2
1093,400194,276458,South East Longbridge,Longbridge,1km2
1094,400067,278064,South West Longbridge,Longbridge,2km2
1095,399489,278744,West Longbridge,Longbridge,2km2
1101,403644,278284,West Kings Norton,King's Norton,1km2
1102,404751,277886,South East Kings Norton,King's Norton,3km2
1103,404539,278742,Central Kings Noton,King's Norton,1km2
1104,404776,279478,North Kings Norton,King's Norton,1km2
1111,400647,284687,North Quinton,Quinton,1km2
1112,400405,284060,South Quinton,Quinton,2km2
1121,406998,278885,South Brandwood,Brandwood,2km2
1122,407254,280834,North Brandwood,Brandwood,1km2
1123,406458,280352,West Brandwood,Brandwood,1km2
1124,405879,279260,South West Brandwood,Brandwood,1km2
1125,407532,280034,East Brandwood,Brandwood,1km2
1131,408234,278618,South West Billesley,Billesley,1km2
1132,408620,279223,South Billesley,Billesley,1km2
1133,409545,279606,South East Billesley,Billesley,1km2
1134,408170,280778,North West Billesley,Billesley,1km2
1135,409018,280442,Cental Billesley,Billesley,1km2
1136,409225,281212,North East Billesley,Billesley,1km2
1141,410310,280424,West Hall Green,Hall Green,1km2
1142,410886,279866,South Hall Green,Hall Green,1km2
1143,411268,281039,East Hall Green,Hall Green,1km2
1144,410633,281555,Central Hall Green,Hall Green,1km2
1145,410143,282323,North Hall Green,Hall Green,1km2
1151,411920,281753,South Fox Hollies,Fox Hollies,1km2
1152,412349,282609,East Fox Hollies,Fox Hollies,1km2
1153,411542,282833,Cental Fox Hollies,Fox Hollies,1km2
1154,410999,283457,North Fox Hollies,Fox Hollies,1km2
1155,410374,283057,North West Fox Hollies,Fox Hollies,1km2
1161,408940,282288,East Moseley,Moseley,1km2
1162,407937,282449,Central Moseley,Moseley,1km2
1163,407421,281700,West Moseley,Moseley,1km2
1164,407265,284138,North Moseley,Moseley,0km2
1165,407069,283023,North West Moseley,Moseley,3km2
1171,412206,285217,Central Acock's Green,Acock's Green,1km2
1172,412514,285891,North Acock's Green,Acock's Green,1km2
1173,412327,283648,South Acock's Green,Acock's Green,1km2
1174,412911,284265,East Acock's Green,Acock's Green,1km2
1175,411359,284542,West Acock's Green,Acock's Green,1km2
1181,411172,286258,North East Small Heath,Small Heath,2km2
1182,410154,284040,South Small Heath,Small Heath,1km2
1183,410599,285385,East Small Heath,Small Heath,1km2
1184,410206,285854,Central Small Heath,Small Heath,1km2
1185,409914,286321,North Small Heath,Small Heath,1km2
1191,407668,286107,North West Sparkbrook,Sparkbrook,0km2
1192,407517,284514,South West Sparkbrook,Sparkbrook,1km2
1193,408276,284553,South Sparkbrook,Sparkbrook,1km2
1194,409294,285741,East Sparkbrook,Sparkbrook,1km2
1195,409089,284810,South East Sparkbrook,Sparkbrook,1km2
1201,407626,286628,South West Nechells,Nechells,0km2
1202,408822,286686,South Nechells,Nechells,0km2
1203,410293,286927,South East Nechells,Nechells,2km2
1204,410206,287658,East Nechells,Nechells,1km2
1205,408527,287801,Central Nechells,Nechells,1km2
1206,409278,289279,North Nechells,Nechells,2km2
1207,407317,287224,West Nechells,Nechells,0km2
1208,408549,288412,North West Nechells,Nechells,1km2
1211,410467,288206,West Washwood Heath,Washwood Heath,1km2
1212,409584,288449,North Washwood Heath,Washwood Heath,0km2
1213,411466,288620,East Washwood Heath,Washwood Heath,2km2
1214,411911,287490,South Washwood Heath,Washwood Heath,1km2
1221,411706,290825,West Kingsbury,Kingsbury,0km2
1222,412351,290426,South Kingsbury,Kingsbury,2km2
1223,412806,291576,North West Kingsbury,Kingsbury,1km2
1224,413624,291842,North East Kingsbury,Kingsbury,1km2
1225,414465,291293,East Kingsbury,Kingsbury,2km2
1226,414463,290352,South East Kingsbury,Kingsbury,0km2
1231,410808,292782,North Erdington,Erdington,1km2
1232,410786,290760,South Erdington,Erdington,1km2
1233,411049,291622,West Erdington,Erdington,1km2
1234,411847,292444,North East Erdington,Erdington,1km2
1235,412081,291588,East Erdington,Erdington,1km2
1241,410019,292990,North Stockland Green,Stockland Green,1km2
1242,410114,292078,East Stockland Green,Stockland Green,1km2
1243,409315,291232,West Stockland Green,Stockland Green,1km2
1244,410307,290265,South Stockland Green,Stockland Green,1km2
1245,410095,291137,Central Stockland Green,Stockland Green,1km2
1251,406904,291793,South East Perry Bar,Perry Barr,3km2
1252,405821,292269,South West Perry Bar,Perry Barr,2km2
1253,405154,293242,East Perry Bar,Perry Barr,0km2
1254,406473,293198,West Perry Bar,Perry Barr,1km2
1255,405510,293737,North Perry Bar,Perry Barr,1km2
1261,405299,291436,East Sandwell,Sandwell,1km2
1262,404413,291971,North East Sandwell,Sandwell,1km2
1263,403726,290405,West Sandwell,Sandwell,4km2
1264,404585,290567,South East Sandwell,Sandwell,1km2
1271,407174,290235,East Handsworth,Handsworth,1km2
1272,406055,290518,North Handsworth,Handsworth,2km2
1273,406109,289761,South Handsworth,Handsworth,1km2
1281,408474,290536,North Aston,Aston,1km2
1282,408413,289507,East Aston,Aston,1km2
1283,407619,289559,Cental Aston,Aston,2km2
1284,406597,288132,South Aston,Aston,1km2
1285,406415,288969,West Aston,Aston,2km2
1291,405160,286258,South Ladywood,Ladywood,0km2
1292,405097,287058,South West Ladywood,Ladywood,1km2
1293,406160,286946,Central Ladywood,Ladywood,0km2
1294,406495,286352,South East Ladywood,Ladywood,0km2
1295,406983,286886,North East Ladywood,Ladywood,0km2
1296,407058,286164,East Ladywood,Ladywood,0km2
1297,406422,287441,North West Ladywood,Ladywood,0km2
